Identifier,heading,image_url,folio_start,folio_start_r_or_v,folio_end,folio_end_r_or_v,material,tool,purpose,subject_activity_keywords
p139r_1,Casting with lead and tin,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f283.image; http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f284.image;,139,r,139,v,pure tin; unrefined lead; sand; charcoal; resin; bismuth; cuttlefish bone; paper;,mold; crucible; bellow's fire; scraper; press; copper sheets; estric sheets; iron sheets; wood covered with white iron;,lead and iron casting; casting lizards serpents thin things and paper with writing;,casting--with-lead-and-tin
p139v_1,Casting wax to mold an animal that one has not got,"http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f284.image; http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f285.image; http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f286.item.r=; 
",139,v,140,v,white wax; charcoal; sulphur; moule au noyau; esbaucher wax;,cloth or coal sieve; coal fire; earred-porringer;,make wax serpents or other things to affix to candles,casting--with-wax
fig_p140r_1,Image of serpent around candle holder,"https://drive.google.com/open?id=0B9-oNrvWdlO5NFdsdU4tVFgxOTg
",140,r,140,r,,,image of serpent around candle holder,image--serpent-around-candle-holder
p140v_1,To cast in sulfur,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f286.item.r=,140,v,140,v,pith of bread; melted wax;,sulfur; brazier;,casting in sulphur,casting--in-sulphur
p140v_2,Molding and shrinking a large shape,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f286.item.r=,140,v,140,v,sulfur; bread;,,shaping and shrinking a medal,casting--how-to-shrink
p140v_3,Casting of lead and tin in plaster,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f286.item.r=,140,v,140,v,mixed plaster; brique; brick; stone alum; crocum;,,casting not very heavy animal or flat medal or flowers,casting--things-not-too-heavy
p141r_1,Casting a crayfish,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f287.image,141,r,142,r,a dry crayfish carcass; wheat oil; light oil colors (vermillion; yellow ochre); wine; lacquer; yellow potter's earth; wax;,hot iron; engraving stick;  needles of iron wire; pen knife; little chisels;,casting a crayfish,casting--crayfish
fig_p141v_1,Image of crayfish,https://drive.google.com/open?id=0B9-oNrvWdlO5R0NIbHoyNTNQRlk,141,v,141,v,,,image of crayfish,image--crayfish-top
fig_p142r_1,Image of crayfish,"https://drive.google.com/open?id=0B9-oNrvWdlO5Qkh2MDhvUkFnUW8

",142,r,142,r,,,image of crayfish on its back,image--crayfish-bottom
p142v_1,Molding grasshoppers and things too thin,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f290.image,142,v,142,v,melted butter; wheat oil; wax;,,giving thickness to thin things like butterfly and grasshopper wings; petals of a pansy; written paper;,casting--things-too-thin
p142v_2,Molds,"
http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f290.image",142,v,142,v,,,advice on taking care of the molds and removing casted animals,casting--advice
p142v_3,Lute for luting your molds,"
http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f290.image",142,v,142,v,lean earth from artillery and bell founders; horse manure; cloth shavings;,,making lute,casting--luting
p143r_1,Moulding turtles and tortoises,"
http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f290.image",143,r,143,r,turtle or tortoise; vinegar; spirits; hot water;,pen knife;,how to put to death a tortoise or a turtle; when to use their body for casting; observations about how to catch turtles and tortoises;,casting--turtle
p143r_2,Moulders from Foix,"
http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f291.image",143,r,143,r,crocum; ferri; calcinated slate; sand; prophyry;,,observation on molders from Foix,casting--observation
p143r_3,Toad,"
http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f291.image; http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f292.image; ",143,r,143,v,,,how to take toads out of molds,casting--advice
fig_p143r_1,Image of a toad,"
https://drive.google.com/open?id=0B9-oNrvWdlO5cnJFVXFaRURaY3c",143,r,143,r,,,image of a toad,image--toad
